,vehicle_id,time,longitude,latitude
8551,136,03,716.66,273.51
8552,137,03,766.85,382.35
8553,135,04,333.71,418.38
8554,136,04,715.22,284.42
8555,137,04,753.5,381.86
8556,135,05,319.85,417.48
8557,136,05,714.63,296.97
8558,137,05,739.84,381.35
8559,135,06,306.01,416.59
8560,136,06,713.95,311.55
8561,137,06,729.62,380.98
8562,135,07,293.08,416.13
8563,136,07,713.18,328.41
8564,137,07,723.36,380.9
8565,138,07,600.07,637.56
8566,135,08,281.26,421.58
8567,136,08,712.76,347.58
8568,137,08,721.46,380.94
8569,138,08,600.12,636.06
8570,135,09,269.95,428.39
8571,136,09,712.34,368.23
8572,137,09,721.06,380.96
8573,138,09,600.23,632.58
8574,135,10,259.7,434.57
8575,136,10,711.48,391.04
8576,137,10,721.01,380.96
8577,138,10,600.4,627.29
8578,135,11,251.85,439.3
8579,136,11,710.59,415.63
8580,137,11,718.83,381.47
8581,138,11,600.62,620.22
8582,135,12,247.86,441.7
8583,136,12,709.74,439.33
8584,137,12,715.27,383.47
8585,138,12,601.19,611.43
8586,135,13,247.04,443.93
8587,136,13,708.86,463.29
8588,137,13,712.28,388.73
8589,138,13,602.21,600.77
8590,135,14,249.5,444.45
8591,136,14,707.97,487.44
8592,137,14,711.25,396.26
8593,138,14,603.37,588.46
8594,135,15,253.34,442.14
8595,136,15,707.06,511.35
8596,137,15,710.92,405.82
8597,138,15,603.88,574.97
8598,135,16,259.37,438.5
8599,136,16,706.15,536.21
8600,137,16,710.54,417.03
8601,138,16,604.39,561.6
8602,135,17,266.84,434.0
8603,136,17,705.35,557.98
8604,137,17,710.08,430.28
8605,138,17,604.87,548.96
8606,135,18,275.97,428.5
8607,136,18,704.71,575.25
8608,137,18,709.51,445.65
8609,138,18,605.39,535.33
8610,135,19,286.49,422.16
8611,136,19,704.35,588.15
8612,137,19,708.85,463.51
8613,138,19,605.89,522.18
8614,136,20,704.28,596.74
8615,137,20,708.14,482.83
8616,138,20,606.39,509.1
8617,136,21,701.25,604.03
8618,137,21,707.31,504.66
8619,138,21,606.92,495.26
8620,136,22,693.17,604.95
8621,137,22,706.48,527.07
8622,138,22,607.43,481.97
8623,136,23,682.51,604.58
8624,137,23,705.68,548.78
8625,138,23,607.93,468.8
8626,139,23,707.39,502.41
8627,136,24,669.71,604.15
8628,137,24,704.88,570.63
8629,138,24,608.38,456.86
8630,139,24,707.3,504.87
8631,136,25,655.47,603.56
8632,137,25,704.31,592.3
8633,138,25,608.67,449.42
8634,139,25,707.14,509.3
8635,136,26,640.18,602.62
8636,137,26,703.74,614.19
8637,138,26,608.36,440.83
8638,139,26,706.92,515.08
8639,136,27,625.88,601.69
8640,137,27,703.08,635.64
8641,138,27,603.75,434.13
8642,139,27,706.65,522.48
8643,136,28,611.37,600.75
8644,137,28,702.03,657.14
8645,138,28,595.22,431.96
8646,139,28,706.31,531.68
8647,137,29,701.71,678.57
8648,138,29,584.08,431.74
8649,139,29,705.89,543.28
8650,137,30,700.72,700.69
8651,138,30,570.93,431.48
8652,139,30,705.39,556.75
8653,137,31,700.08,723.19
8654,138,31,557.04,431.13
8655,139,31,704.83,571.91
8656,137,32,699.19,745.42
8657,138,32,543.94,430.49
8658,139,32,704.43,583.95
8659,137,33,698.45,766.75
8660,138,33,530.15,429.68
8661,139,33,704.32,591.71
8662,137,34,697.71,788.09
8663,138,34,519.05,429.03
8664,139,34,704.28,596.35
8665,137,35,696.95,809.8
8666,138,35,512.45,428.65
8667,139,35,705.75,598.37
8668,137,36,696.51,831.99
8669,138,36,504.14,428.18
8670,139,36,707.49,595.99
8671,137,37,695.27,853.58
8672,138,37,494.48,427.66
8673,139,37,707.52,591.36
8674,137,38,694.09,874.92
8675,138,38,482.65,427.06
8676,139,38,707.62,584.69
8677,137,39,693.1,896.58
8678,138,39,469.36,426.39
8679,139,39,707.86,576.73
8680,137,40,692.26,918.47
8681,138,40,455.89,425.71
8682,139,40,708.23,566.75
8683,137,41,691.42,940.49
8684,138,41,442.28,424.98
8685,139,41,708.66,554.9
8686,137,42,690.66,962.38
8687,138,42,428.52,424.22
8688,139,42,709.19,540.48
8689,140,42,440.2,424.87
8690,137,43,689.54,984.09
8691,138,43,415.11,423.47
8692,139,43,709.8,524.11
8693,140,43,438.16,424.75
8694,137,44,688.44,1006.2
8695,138,44,404.09,422.86
8696,139,44,710.48,505.46
8697,140,44,433.6,424.5
8698,137,45,687.28,1028.01
8699,138,45,398.1,420.87
8700,139,45,711.28,484.63
8701,140,45,426.47,424.1
8702,138,46,397.04,415.17
8703,139,46,712.01,464.7
8704,140,46,417.66,423.61
8705,138,47,397.34,407.91
8706,139,47,712.75,444.69
8707,140,47,407.34,423.04
8708,138,48,397.73,398.29
8709,139,48,713.47,424.74
8710,140,48,400.49,422.38
8711,138,49,398.18,387.16
8712,139,49,714.17,404.32
8713,140,49,397.0,416.91
8714,138,50,398.71,373.99
8715,139,50,714.99,384.33
8716,140,50,397.26,409.74
8717,138,51,399.26,360.58
8718,139,51,715.63,363.63
8719,140,51,397.61,401.08
8720,138,52,399.79,347.29
8721,139,52,716.05,342.63
8722,140,52,398.02,391.09
8723,138,53,400.34,333.86
8724,139,53,716.61,322.67
8725,140,53,398.49,379.52
8726,138,54,400.88,320.47
8727,139,54,717.59,302.13
8728,140,54,399.01,366.6
8729,141,54,689.98,1037.06
8730,138,55,401.41,307.31
8731,139,55,718.54,281.75
8732,140,55,399.59,352.25
8733,141,55,691.4,1011.33
8734,138,56,401.97,293.56
8735,139,56,718.85,261.01
8736,140,56,400.21,337.04
8737,141,56,692.66,985.69
8738,138,57,402.49,280.75
8739,139,57,719.58,241.13
8740,140,57,400.8,322.46
8741,141,57,694.01,960.93
8742,138,58,403.02,267.69
8743,139,58,720.36,221.08
8744,140,58,401.4,307.59
8745,141,58,694.83,935.25
8746,138,59,403.56,254.24
8747,139,59,721.1,200.97
8748,140,59,402.01,292.48
8749,141,59,695.78,910.17
8750,138,00,404.09,240.67
8751,139,00,721.52,182.88
8752,140,00,402.61,277.69
8753,141,00,696.81,884.44
8754,138,01,404.61,227.05
8755,139,01,721.87,168.08
8756,140,01,403.07,266.35
8757,141,01,698.14,859.63
8758,138,02,405.12,213.6
8759,139,02,722.11,157.79
8760,140,02,404.09,259.67
8761,141,02,699.65,834.04
8762,138,03,405.62,200.46
8763,139,03,723.83,152.46
8764,140,03,410.1,257.57
8765,141,03,700.18,809.14
8766,138,04,406.12,187.45
8767,139,04,729.75,151.39
8768,140,04,418.47,258.18
8769,141,04,701.07,783.39
8770,138,05,406.61,174.76
8771,139,05,737.66,151.7
