,vehicle_id,time,latitude,longitude
1351,22,17,250.58,131.69
1352,23,17,149.09,920.24
1353,24,17,379.43,847.02
1354,22,18,232.58,121.33
1355,23,18,148.63,908.02
1356,24,18,378.06,846.29
1357,22,19,214.46,110.91
1358,23,19,148.22,896.83
1359,24,19,375.56,844.25
1360,22,20,196,100.29
1361,23,20,147.78,885.25
1362,24,20,372.99,840.52
1363,22,21,177.35,89.56
1364,23,21,147.36,873.77
1365,24,21,371.7,833.9
1366,22,22,159.55,79.32
1367,23,22,146.91,861.76
1368,24,22,374.97,826.14
1369,22,23,141.86,69.14
1370,23,23,146.48,850.4
1371,24,23,379.6,822.28
1372,22,24,124.04,58.88
1373,23,24,146.02,838.08
1374,24,24,383.4,818.91
1375,22,25,106.01,48.51
1376,23,25,145.56,825.8
1377,24,25,384.08,813.69
1378,22,26,87.51,37.87
1379,23,26,145.12,813.87
1380,24,26,383.79,805.89
1381,22,27,69.04,27.24
1382,23,27,144.68,802.14
1383,24,27,383.41,795.69
1384,22,28,51.2,16.98
1385,23,28,144.25,790.59
1386,24,28,382.99,784.3
1387,22,29,32.62,6.64
1388,23,29,143.8,778.47
1389,24,29,382.6,773.64
1390,22,30,11.88,1.66
1391,23,30,143.35,766.64
1392,24,30,382.19,762.41
1393,23,31,142.91,754.73
1394,24,31,381.77,751.04
1395,23,32,142.46,742.67
1396,24,32,381.37,740.21
1397,23,33,142.13,733.82
1398,24,33,380.97,729.38
1399,25,33,266,570.31
1400,23,34,141.96,729.28
1401,24,34,380.9,723.05
1402,25,34,266.04,571.62
1403,23,35,144.01,722.94
1404,24,35,382.89,715.88
1405,25,35,266.12,574.41
1406,23,36,150.7,719.57
1407,24,36,388.81,712.25
1408,25,36,266.24,578.87
1409,23,37,157.76,718.9
1410,24,37,396.11,711.25
1411,25,37,266.44,585.83
1412,23,38,167.4,718.68
1413,24,38,405.28,710.94
1414,25,38,266.7,595.39
1415,23,39,179.44,718.4
1416,24,39,416.99,710.54
1417,25,39,266.98,606.65
1418,23,40,193.34,718.07
1419,24,40,426.01,710.23
1420,25,40,267.36,618.72
1421,23,41,208.96,717.63
1422,24,41,431.65,709.46
1423,25,41,267.95,630.35
1424,23,42,226.67,716.94
1425,24,42,435.79,706.03
1426,25,42,268.66,641.52
